iter	RMSE
0	14.93903414
1	14.55427618
2	14.16344653
3	13.78524304
4	13.42499728
5	13.09728372
6	12.77415914
7	12.48698348
8	12.2311346
9	11.92844715
10	11.63721245
11	11.37332309
12	11.15802447
13	10.90582621
14	10.66714541
15	10.41594012
16	10.19833647
17	9.990725184
18	9.772291856
19	9.573270566
20	9.394068681
21	9.227052595
22	9.042500766
23	8.873820643
24	8.714459408
25	8.576953231
26	8.43251469
27	8.284334053
28	8.167549006
29	8.043400101
30	7.918671622
31	7.798496334
32	7.692838969
33	7.582059566
34	7.471070813
35	7.376440052
36	7.282391451
37	7.201844892
38	7.115373389
39	7.031166128
40	6.957678374
41	6.880564144
42	6.805129558
43	6.746879434
44	6.684544736
45	6.625736655
46	6.564237769
47	6.507060757
48	6.452184359
49	6.393885854
50	6.343302882
51	6.296682575
52	6.251846764
53	6.20288384
54	6.161276859
55	6.118148187
56	6.081208746
57	6.048104374
58	6.013725119
59	5.982740116
60	5.948961781
61	5.920347782
62	5.889906339
63	5.858361081
64	5.830365888
65	5.801474395
66	5.772512174
67	5.743546495
68	5.727254066
69	5.706222452
70	5.684933297
71	5.662244008
72	5.642610825
73	5.621249073
74	5.601517246
75	5.5831495
76	5.566221009
77	5.548005133
78	5.531430526
79	5.51432703
80	5.498425818
81	5.488843911
82	5.47312088
83	5.458111362
84	5.441435695
85	5.427291892
86	5.416484459
87	5.405028587
88	5.395821425
89	5.382336275
90	5.373038548
91	5.364437897
92	5.355229102
93	5.34638881
94	5.33614432
95	5.323718468
96	5.317610099
97	5.312780363
98	5.304868968
99	5.293825945
100	5.285268296
101	5.277400171
102	5.267428023
103	5.259439986
104	5.251300429
105	5.241209135
106	5.232724558
107	5.222391228
108	5.214982023
109	5.206943748
110	5.200546553
111	5.193549707
112	5.18804482
113	5.182349283
114	5.176063213
115	5.174696765
116	5.166971467
117	5.161978919
118	5.155561795
119	5.151086664
120	5.14649401
121	5.140645763
122	5.133089289
123	5.127196533
124	5.124060447
125	5.11791778
126	5.11215359
127	5.099816656
128	5.093813334
129	5.088111557
130	5.08438288
131	5.079736437
132	5.073291335
133	5.069984378
134	5.064938545
135	5.059050179
136	5.056600377
137	5.053712666
138	5.051188508
139	5.048243212
140	5.045859653
141	5.042872381
142	5.03725163
143	5.034033763
144	5.0276163
145	5.020235607
146	5.017155715
147	5.013562217
148	5.008400708
149	5.002334267
150	4.999003427
151	4.995517885
152	4.990534751
153	4.986513156
154	4.982781639
155	4.97672716
156	4.969329792
157	4.963251766
158	4.960312119
159	4.959366393
160	4.958188005
161	4.953763702
162	4.950593831
163	4.947999188
164	4.946605097
165	4.944014331
166	4.940776334
167	4.936869371
168	4.933071819
169	4.930405978
170	4.927508557
171	4.924626062
172	4.917032232
173	4.91298582
174	4.908142007
175	4.904328371
176	4.898796456
177	4.896146651
178	4.892936131
179	4.892507548
180	4.889948347
181	4.883359431
182	4.878642316
183	4.875997423
184	4.873576331
185	4.86742828
186	4.865041619
187	4.86248696
188	4.857583434
189	4.852698654
190	4.850459418
191	4.844792985
192	4.839125062
193	4.834841497
194	4.831161838
195	4.826930566
196	4.823101214
197	4.817774021
198	4.814930936
199	4.812183115
200	4.808640377
201	4.807537359
202	4.801882526
203	4.799046766
204	4.795845726
205	4.793587785
206	4.790873509
207	4.788718753
208	4.786784134
209	4.781414213
210	4.778807357
211	4.775330238
212	4.770879268
213	4.765449023
214	4.758283967
215	4.753064897
216	4.749191126
217	4.744800285
218	4.742491044
219	4.739056737
220	4.73466974
221	4.731821596
222	4.729878517
223	4.728398976
224	4.726448412
225	4.725792918
226	4.722760324
227	4.720492715
228	4.717500132
229	4.71517065
230	4.713909441
231	4.711082762
232	4.706115449
233	4.701398303
234	4.698304747
235	4.697449299
236	4.695896772
237	4.693151683
238	4.687730478
239	4.686302002
240	4.683802917
241	4.678639141
242	4.675431211
243	4.673024228
244	4.670899221
245	4.670117149
246	4.666050875
247	4.66338166
248	4.657454824
249	4.654571718
250	4.648589794
251	4.64667898
252	4.641616946
253	4.638916285
254	4.63502575
255	4.632310302
256	4.631020193
257	4.630102409
258	4.623962696
259	4.621296876
260	4.614881306
261	4.609117962
262	4.607768788
263	4.602396077
264	4.600417669
265	4.59434057
266	4.589834821
267	4.581668202
268	4.577561285
269	4.571695436
270	4.566160223
271	4.562977699
272	4.560344456
273	4.554696702
274	4.550058852
275	4.546844831
276	4.544843929
277	4.543086519
278	4.53750868
279	4.532312796
280	4.530558118
281	4.527272943
282	4.525848877
283	4.524145325
284	4.520149646
285	4.517510157
286	4.516627193
287	4.514033678
288	4.513166698
289	4.509775364
290	4.50595604
291	4.503359806
292	4.502164681
293	4.495182499
294	4.49288989
295	4.48970256
296	4.48716683
297	4.482760113
298	4.477537491
299	4.475210638
300	4.474164228
301	4.469315656
302	4.466266538
303	4.461660827
304	4.455744241
305	4.452486946
306	4.44765776
307	4.444108582
308	4.442850945
309	4.439809208
310	4.439191487
311	4.438691612
312	4.437229764
313	4.431732195
314	4.430421533
315	4.430008993
316	4.427779316
317	4.422340798
318	4.418063433
319	4.413214808
320	4.409236802
321	4.40451896
322	4.399201187
323	4.395148894
324	4.393320532
325	4.386882027
326	4.384189562
327	4.38133752
328	4.379629058
329	4.377702415
330	4.375922242
331	4.373053599
332	4.367992825
333	4.362444191
334	4.358933883
335	4.358555175
336	4.355288893
337	4.350857318
338	4.347879503
339	4.344723596
340	4.341880286
341	4.337203811
342	4.333000723
343	4.330687934
344	4.328624888
345	4.326064208
346	4.321816958
347	4.321128805
348	4.320456122
349	4.319918409
350	4.316203295
351	4.313311962
352	4.307974504
353	4.304201671
354	4.301659252
355	4.301253613
356	4.29686887
357	4.293595307
358	4.288427322
359	4.285201523
360	4.284490747
361	4.282367382
362	4.280640415
363	4.27571551
364	4.270275279
365	4.269942137
366	4.264848547
367	4.260608193
368	4.259190038
369	4.258889015
370	4.254316117
371	4.253421345
372	4.250715275
373	4.246216703
374	4.243899881
375	4.243044079
376	4.242552534
377	4.240594744
378	4.236141637
379	4.235029071
380	4.230411201
381	4.226053295
382	4.22091372
383	4.216683905
384	4.215470225
385	4.210839396
386	4.204467765
387	4.200728014
388	4.199156023
389	4.194898548
390	4.193443332
391	4.192245776
392	4.186752109
393	4.183244136
394	4.179546326
395	4.176652274
396	4.174188322
397	4.169875567
398	4.169411531
399	4.16505233
400	4.164379668
401	4.160148018
402	4.156862382
403	4.155840305
404	4.151883884
405	4.148193895
406	4.144569533
407	4.143993038
408	4.140825034
409	4.137996379
410	4.135293042
411	4.131011119
412	4.12720269
413	4.123248659
414	4.120070492
415	4.117357859
416	4.113870945
417	4.110415687
418	4.107025405
419	4.104535686
420	4.102171935
421	4.098873506
422	4.097920795
423	4.094987795
424	4.093104312
425	4.090959497
426	4.09067941
427	4.086928035
428	4.086629665
429	4.085176186
430	4.080924149
431	4.07592169
432	4.072129224
433	4.071489219
434	4.067571073
435	4.064448705
436	4.063060757
437	4.059280287
438	4.059009993
439	4.057595674
440	4.055789877
441	4.055270831
442	4.054987957
443	4.052036901
444	4.051183971
445	4.048453931
446	4.047951863
447	4.045297095
448	4.043499736
449	4.040020636
450	4.03631552
451	4.035459549
452	4.033715166
453	4.033225805
454	4.029156974
455	4.02629533
456	4.022655615
457	4.020920043
458	4.017593889
459	4.01521006
460	4.014683808
461	4.01141425
462	4.00811458
463	4.005720024
464	4.004356966
465	3.999330759
466	3.993859543
467	3.993409108
468	3.991187743
469	3.988441363
470	3.984701909
471	3.98309019
472	3.981016954
473	3.979008066
474	3.978231134
475	3.976078671
476	3.975481626
477	3.973075714
478	3.96976054
479	3.96885702
480	3.966809209
481	3.964732543
482	3.961506452
483	3.957085546
484	3.956661876
485	3.955747456
486	3.952806023
487	3.952453205
488	3.947435306
489	3.944048105
490	3.940228883
491	3.936341379
492	3.933429525
493	3.930762078
494	3.92707669
495	3.924668016
496	3.919986111
497	3.919502399
498	3.916501509
499	3.914020174
500	3.911754025
501	3.908296537
502	3.904485027
503	3.90387305
504	3.902843137
505	3.900818196
506	3.899375984
507	3.897073005
508	3.896070364
509	3.894190043
510	3.891869392
511	3.891665816
512	3.887918682
513	3.884885499
514	3.882081826
515	3.877729056
516	3.873919159
517	3.872568474
518	3.869239287
519	3.867510446
520	3.866930922
521	3.865982934
522	3.860370313
523	3.857605613
524	3.854129179
525	3.851222087
526	3.846768734
527	3.844553602
528	3.842604546
529	3.842335938
530	3.840048617
531	3.839476373
532	3.837740946
533	3.834810024
534	3.83087171
535	3.829283386
536	3.826529806
537	3.824889394
538	3.822833582
539	3.822440527
540	3.822015159
541	3.821832438
542	3.819289507
543	3.817686656
544	3.815366189
545	3.811839127
546	3.809673931
547	3.809495783
548	3.80654589
549	3.803634247
550	3.803436226
551	3.801665876
552	3.797946816
553	3.795544558
554	3.793311068
555	3.788660022
556	3.788005495
557	3.782348514
558	3.781998538
559	3.778547648
560	3.775905497
561	3.774953069
562	3.773933856
563	3.773575073
564	3.768473928
565	3.766578852
566	3.765550594
