iter	Passed	Remaining
0	1	149
1	2	136
2	4	138
3	5	128
4	6	132
5	8	134
6	9	129
7	11	128
8	12	127
9	13	124
10	15	122
11	16	121
12	17	119
13	19	119
14	20	118
15	22	117
16	23	116
17	25	115
18	26	114
19	28	112
20	29	110
21	30	108
22	32	107
23	33	106
24	35	105
25	36	104
26	38	102
27	39	101
28	40	99
29	42	98
30	43	96
31	44	94
32	45	93
33	47	91
34	48	90
35	49	88
36	51	87
37	52	85
38	54	84
39	55	83
40	57	82
41	58	81
42	60	79
43	61	78
44	63	77
45	64	75
46	65	74
47	67	73
48	69	72
49	77	77
50	79	76
51	80	74
52	82	72
53	83	71
54	85	69
55	87	68
56	88	67
57	91	66
58	93	64
59	95	63
60	97	62
61	99	60
62	100	59
63	102	57
64	103	55
65	104	53
66	106	52
67	107	50
68	108	48
69	111	47
70	112	46
71	114	44
72	115	42
73	116	41
74	118	39
75	119	37
76	120	36
77	122	34
78	123	32
79	125	31
80	126	29
81	128	28
82	129	26
83	131	24
84	132	23
85	133	21
86	135	20
87	136	18
88	137	17
89	139	15
90	140	13
91	142	12
92	143	10
93	144	9
94	146	7
95	147	6
96	148	4
97	150	3
98	151	1
99	153	0
